"51179","55608","50311"
"51734","58465","54045"
"48812","53504","49561"
"52474","57102","51261"
"55862","63684","57982"
"54918","58704","53704"
"49389","58470","52683"
"54073","61073","52866"
"47241","49019","46028"
"49612","55892","49675"
"51948","62356","55091"
"55905","61818","57436"
"55943","61418","57521"
"50601","54965","53081"
"50151","56191","49652"
"49338","54187","48679"
"47720","50893","50072"
"54209","58695","54078"
"47582","53965","47415"
"50042","57253","50926"
"50995","57006","52424"
"41780","46674","43149"
"53064","62250","54522"
"49177","55159","50039"
"46385","51869","46068"
"46904","55462","49705"
"57285","61278","57463"
"51257","58438","54493"
"46355","50203","46235"
"44865","48321","44219"
"47999","57547","50449"
"51435","56382","53093"
"58089","64496","59351"
"52438","57553","52927"
"62997","69245","64498"
"55312","61259","52422"
"47061","53241","50128"
"57249","65309","58102"
"54267","58378","52672"
"50721","58534","51574"
"47753","55027","49966"
"43447","45528","44332"
"44754","47706","45463"
"47790","50962","46471"
"56030","63077","56482"
"47919","54922","50326"
"48590","58401","49639"
"57574","60504","56227"
"53535","60645","53811"
"50261","55534","52624"
"43486","50632","44953"
"46128","52733","46544"
"48796","55374","48875"
"55526","59173","56319"
"51850","58951","53379"
"54943","63662","55031"
"53747","58323","53666"
"51983","57729","52948"
"48324","55380","50847"
"54459","64953","55753"
"52056","61765","56891"
"55176","63090","55305"
"46799","52392","49141"
"56470","63536","56133"
"53414","62291","54469"
"50517","56834","50494"
"55835","62652","57605"
"47669","53036","47246"
"49807","57550","52062"
"48340","55055","49028"
"46787","53811","48412"
"49804","53207","48633"
"56946","65485","59490"
"49236","52841","48140"
"44978","50155","45850"
"53147","57900","54599"
"57725","65992","59621"
"56838","60430","55290"
"54774","58337","52453"
"53518","61954","57381"
"46412","49744","47717"
"53139","60147","53070"
"47181","51488","47216"
"52016","58730","53155"
"50348","54678","49834"
"40797","44715","43568"
"51844","55449","50425"
"54268","60018","53774"
"48939","55835","50633"
"55847","62352","57378"
"50363","59239","51710"
"52321","59097","53578"
"50043","60316","51933"
"51809","55946","51370"
"46579","51665","46757"
"56972","66370","60193"
"49949","55242","51149"
"53447","59027","53395"
"44609","48620","41050"
"59336","64351","60446"
"54830","59175","53620"
"50121","56659","51300"
"50786","58793","52090"
"48937","54140","49261"
"51471","56322","50678"
"61513","72780","61855"
"50359","57344","52671"
"47154","51056","47779"
"48184","51768","48505"
"51776","59625","52552"
"55399","62083","57423"
"46275","53970","49067"
"58723","63978","59118"
"49215","53948","47009"
"45259","46772","44056"
"44807","47481","44344"
"47889","53331","46980"
"54181","55899","51600"
"55958","61225","55141"
"50764","55748","52800"
"53643","61890","54774"
"43473","47979","43539"
"55838","64124","59472"
"51534","60208","51509"
"54664","61125","56975"
"49670","53828","49865"
"52230","63823","54652"
"58889","67895","61301"
"54631","58246","54807"
"50819","60703","52925"
"53104","54245","49538"
"56571","61878","58227"
"57124","64764","57492"
"58097","67045","59654"
"50662","57036","50480"
"47805","50448","47299"
"48581","54830","48590"
"41005","44781","40609"
"46699","54296","47740"
"54152","56672","54547"
"55820","60298","54237"
"47436","53062","48779"
"50231","56919","49694"
"59597","64965","59051"
"59168","66284","56885"
"56364","63606","57379"
"48513","53479","47867"
"52932","61574","54738"
"56879","62451","56613"
"51373","57506","52252"
"52225","56387","52125"
"49868","57911","51941"
"51202","58871","53629"
"53729","59438","54538"
"48919","51547","46481"
"46424","55172","49046"
"53455","57887","53573"
"47295","52779","48724"
"53970","59479","55231"
"51500","57385","51292"
"52081","56846","51979"
"56306","64665","56294"
"54509","59401","53520"
"61287","65185","59960"
"55986","61679","53594"
"49673","57475","52733"
"58110","62797","57599"
"56209","63147","56297"
"57773","65559","57973"
"48625","51589","47473"
"50770","56228","51542"
"58848","62923","57131"
"47245","53438","48989"
"50889","57273","52696"
"46654","50576","46412"
"56746","62793","58548"
"56886","61421","54785"
"44790","48672","45545"
"48486","53309","48675"
"56485","63749","55683"
"56711","65514","59285"
"47172","53386","47160"
"58791","62170","57604"
"56519","59768","55536"
"56961","62564","56696"
"53952","58535","53032"
"46091","51674","47070"
"50729","58424","52651"
"55881","62764","55531"
"52337","60719","53445"
"50393","55829","50849"
"54887","61325","57096"
"54525","61135","57228"
"57739","65727","58458"
"44629","46429","43455"
"51729","52910","50243"
"60464","67301","61107"
"57148","58714","56087"
"50112","53881","50618"
"43409","47621","42571"
"46094","48730","46262"
"52221","59201","52467"
"45567","54769","48335"
"61141","67764","61802"
"49210","57023","51605"
"50122","57080","51606"
"48603","55594","50271"
"49327","55341","51526"
"52631","58144","52069"
"50954","55317","50579"
"57993","65863","61049"
"46986","51567","47202"
"51949","54992","51214"
"50282","55331","50457"
"47189","52144","45955"
"58219","65351","60447"
"50565","58613","52819"
"47426","50521","45623"
"59014","66860","60905"
"58132","65931","59841"
"52505","58847","54048"
"49516","54663","49791"
"52704","57622","53789"
"49965","56027","50318"
"55279","58015","53455"
"63121","68107","63538"
"56751","66209","56796"
"51434","55426","50250"
"52680","62898","55120"
"49388","54161","50240"
"58803","65496","59259"
"50783","56527","51103"
"57550","64702","57050"
"44320","47344","44506"
"50663","56410","52146"
"45383","49736","46949"
"46952","50545","45666"
"53057","59734","55989"
"54853","61863","56312"
"46989","52881","47611"
"49409","56091","50636"
"50787","57146","52883"
"41877","45962","42609"
"47746","58062","52077"
"45876","51629","46531"
"46057","52591","47317"
"51925","58607","52462"
"56748","62118","57885"
"51251","55541","51104"
"49160","51573","48799"
"52007","59873","52731"
"54665","61207","54434"
"56704","63744","56277"
"55235","63244","54024"
"47662","53454","48731"
"47801","53323","48274"
"51840","58039","54240"
"51899","59131","53604"
"54084","65984","57670"
"47939","58599","51759"
"53179","56076","52897"
"53548","61556","55572"
"51526","58655","52197"
"45719","53355","47533"
"49595","57091","49584"
"52524","59644","51844"
"51596","59160","53513"
"49995","54514","52105"
"53152","60206","54096"
"54281","58900","55296"
"63255","66853","62150"
"47968","53392","48686"
"45623","50497","44989"
"56301","61168","57000"
"42651","47076","44149"
